Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.icache.overall_miss_rate::total	system.cpu.dcache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_cache_line_32	0.097580	1.951595	0.000085	0.017748	0.551703
specbzip_cache_line_128	0.083076	1.661516	0.000062	0.013760	0.182205
specbzip_L1d_assoc_4	0.083410	1.668197	0.000075	0.013381	0.316599
specbzip_L1d_assoc_8	0.083103	1.662058	0.000075	0.012774	0.333113
specbzip_L1d_size_128	0.082422	1.648440	0.000075	0.011293	0.381813
specbzip_L1i_assoc_4	0.083841	1.676825	0.000067	0.014290	0.294797
specbzip_L1i_assoc_8	0.083849	1.676981	0.000066	0.014290	0.294802
specbzip_L1i_size_64	0.083831	1.676618	0.000070	0.014290	0.294747
specbzip_L1i_size_128	0.083829	1.676571	0.000067	0.014291	0.294754
specbzip_L2_assoc_4	0.083841	1.676825	0.000067	0.014290	0.294797
specbzip_L2_assoc_16	0.083858	1.677165	0.000075	0.014293	0.294848
specbzip_L2_size_1	0.085357	1.707141	0.000075	0.014289	0.332242
specbzip_L2_size_4	0.082466	1.649316	0.000075	0.014288	0.263535
specbzip_L2_size_512	0.087773	1.755450	0.000075	0.014299	0.406108
