Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.icache.overall_miss_rate::total	system.cpu.dcache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer_cache_line_32	0.059838	1.196766	0.000218	0.003151	0.081521
spechmmer_cache_line_128	0.059269	1.185385	0.000259	0.001012	0.069020
spechmmer_L1d_assoc_4	0.059354	1.187073	0.000204	0.001617	0.083417
spechmmer_L1d_assoc_8	0.059351	1.187024	0.000204	0.001668	0.080944
spechmmer_L1d_size_128	0.059267	1.185345	0.000204	0.000675	0.199051
spechmmer_L1i_assoc_4	0.059400	1.187998	0.000104	0.001692	0.081916
spechmmer_L1i_assoc_8	0.059400	1.187996	0.000092	0.001692	0.082137
spechmmer_L1i_size_64	0.059400	1.187996	0.000103	0.001691	0.081976
spechmmer_L1i_size_128	0.059400	1.187996	0.000082	0.001692	0.082389
spechmmer_L2_assoc_4	0.059400	1.187998	0.000104	0.001692	0.081916
spechmmer_L2_assoc_16	0.059410	1.188197	0.000204	0.001692	0.079948
spechmmer_L2_size_1	0.059410	1.188197	0.000204	0.001692	0.079948
spechmmer_L2_size_4	0.059410	1.188197	0.000204	0.001692	0.079948
spechmmer_L2_size_512	0.059410	1.188197	0.000204	0.001692	0.079948
