Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.icache.overall_miss_rate::total	system.cpu.dcache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm_cache_line_32	0.280510	5.610199	0.000085	0.121940	0.999980
speclibm_cache_line_128	0.129079	2.581573	0.000121	0.030487	0.999829
speclibm_L1d_assoc_4	0.174779	3.495573	0.000098	0.060971	0.999927
speclibm_L1d_assoc_8	0.174779	3.495573	0.000098	0.060971	0.999927
speclibm_L1d_size_128	0.174779	3.495573	0.000098	0.060971	0.999927
speclibm_L1i_assoc_4	0.174758	3.495153	0.000087	0.060971	0.999972
speclibm_L1i_assoc_8	0.174758	3.495153	0.000085	0.060971	0.999980
speclibm_L1i_size_64	0.174758	3.495153	0.000087	0.060971	0.999970
speclibm_L1i_size_128	0.174758	3.495153	0.000086	0.060971	0.999978
speclibm_L2_assoc_4	0.174758	3.495153	0.000087	0.060971	0.999972
speclibm_L2_assoc_16	0.174779	3.495573	0.000098	0.060971	0.999927
speclibm_L2_size_1	0.175257	3.505130	0.000098	0.060971	0.999927
speclibm_L2_size_4	0.174931	3.498620	0.000098	0.060971	0.999927
speclibm_L2_size_512	0.174919	3.498378	0.000096	0.060971	0.999940
