Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.icache.overall_miss_rate::total	system.cpu.dcache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf_cache_line_32	0.062513	1.250269	0.013244	0.003256	0.171262
specmcf_cache_line_128	0.054299	1.085983	0.000042	0.001314	0.535700
specmcf_L1d_assoc_4	0.055471	1.109417	0.000037	0.001949	0.758181
specmcf_L1d_assoc_8	0.055470	1.109409	0.000037	0.001933	0.764182
specmcf_L1d_size_128	0.055457	1.109142	0.000037	0.001907	0.774229
specmcf_L1i_assoc_4	0.055471	1.109417	0.000020	0.002038	0.734245
specmcf_L1i_assoc_8	0.055469	1.109388	0.000019	0.002038	0.734426
specmcf_L1i_size_64	0.055469	1.109388	0.000019	0.002038	0.734329
specmcf_L1i_size_128	0.055472	1.109434	0.000019	0.002038	0.734426
specmcf_L2_assoc_4	0.055471	1.109417	0.000020	0.002038	0.734245
specmcf_L2_assoc_16	0.055472	1.109439	0.000037	0.002038	0.727863
specmcf_L2_size_1	0.055655	1.113096	0.000037	0.002038	0.779845
specmcf_L2_size_4	0.055456	1.109120	0.000037	0.002038	0.725068
specmcf_L2_size_512	0.062737	1.254734	0.019034	0.002110	0.078397
