Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.icache.overall_miss_rate::total	system.cpu.dcache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng_cache_line_32	0.882748	17.654950	0.000022	0.243656	0.999989
specsjeng_cache_line_128	0.340295	6.805894	0.000013	0.060917	0.999957
specsjeng_L1d_assoc_4	0.513827	10.276542	0.000020	0.121829	0.999980
specsjeng_L1d_assoc_8	0.513848	10.276963	0.000020	0.121829	0.999980
specsjeng_L1d_size_128	0.513728	10.274565	0.000020	0.121829	0.999983
specsjeng_L1i_assoc_4	0.513845	10.276891	0.000019	0.121829	0.999983
specsjeng_L1i_assoc_8	0.513803	10.276068	0.000019	0.121829	0.999984
specsjeng_L1i_size_64	0.513829	10.276572	0.000018	0.121829	0.999985
specsjeng_L1i_size_128	0.513803	10.276069	0.000018	0.121829	0.999985
specsjeng_L2_assoc_4	0.513845	10.276891	0.000019	0.121829	0.999983
specsjeng_L2_assoc_16	0.513836	10.276725	0.000020	0.121829	0.999979
specsjeng_L2_size_1	0.513882	10.277634	0.000020	0.121829	0.999979
specsjeng_L2_size_512	0.514000	10.280000	0.000020	0.121831	0.999979
